	mean_fit_time	mean_score_time	mean_test_score	param_C	param_gamma	param_kernel	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0	157.6697416305542	60.44449536005656	0.44376268892397924	1	0.001	rbf	{'gamma': 0.001, 'kernel': 'rbf', 'C': 1}	12	0.43843031123139375	0.4424742826204656	0.4503858129145797	0.2757007921508487	0.41748185353234396	0.004965159855161329
1	198.2246734301249	45.96926204363505	0.6080757951725694	1	0.001	linear	{'gamma': 0.001, 'kernel': 'linear', 'C': 1}	7	0.6282814614343708	0.6103140227395777	0.5856233924461892	7.29528151357141	1.1713428825797074	0.01748704184467787
2	136.7408254146576	56.63467256228129	0.5898037446424543	1	0.01	rbf	{'gamma': 0.01, 'kernel': 'rbf', 'C': 1}	10	0.6143437077131259	0.5904168922577152	0.5646405848111548	2.2329747649456917	0.8463073251472477	0.020296074438023257
3	198.70084913571677	46.26215227444967	0.6080757951725694	1	0.01	linear	{'gamma': 0.01, 'kernel': 'linear', 'C': 1}	7	0.6282814614343708	0.6103140227395777	0.5856233924461892	7.338678163418534	1.4204363027624436	0.01748704184467787
4	142.692360719045	59.469972372055054	0.5702233250620348	5	0.001	rbf	{'gamma': 0.001, 'kernel': 'rbf', 'C': 5}	11	0.5914749661705007	0.5749864645370871	0.5441992689860566	3.0245459649594255	0.22660635070500212	0.019592089204107058
5	545.3964319229126	45.70248579978943	0.6085720730882022	5	0.001	linear	{'gamma': 0.001, 'kernel': 'linear', 'C': 5}	4	0.6294993234100136	0.6099079588521927	0.5863002572086097	31.554598808713077	0.5877832927167363	0.017661421001524406
6	121.84345507621765	54.98463304837545	0.6085720730882022	5	0.01	rbf	{'gamma': 0.01, 'kernel': 'rbf', 'C': 5}	4	0.6346414073071719	0.6062533838657282	0.5848111547312846	1.156983384749796	0.9195008383641375	0.020409302821762107
7	540.3325936794281	45.68800695737203	0.6085720730882022	5	0.01	linear	{'gamma': 0.01, 'kernel': 'linear', 'C': 5}	4	0.6294993234100136	0.6099079588521927	0.5863002572086097	33.78376698749254	0.6863589608877189	0.017661421001524406
8	133.02957463264465	55.952982584635414	0.5926911797879539	10	0.001	rbf	{'gamma': 0.001, 'kernel': 'rbf', 'C': 10}	9	0.6192151556156968	0.5928532755820249	0.5659943143359957	4.244545824558539	2.001892097269886	0.021727864385050446
9	813.0767243703207	29.795816659927368	0.6088427701330927	10	0.001	linear	{'gamma': 0.001, 'kernel': 'linear', 'C': 10}	2	0.6300405953991881	0.6097726042230645	0.586706376066062	65.00061472740356	0.4196897072301215	0.017703532827258707
10	138.85510341326395	50.10516428947449	0.6123618317166705	10	0.01	rbf	{'gamma': 0.01, 'kernel': 'rbf', 'C': 10}	1	0.6339648173207036	0.6113968597726043	0.5917151753079735	2.455255724634498	4.510357494095852	0.017262028497332948
11	695.8050499757131	21.191070477167766	0.6088427701330927	10	0.01	linear	{'gamma': 0.01, 'kernel': 'linear', 'C': 10}	2	0.6300405953991881	0.6097726042230645	0.586706376066062	51.77958496717129	0.26825245913199297	0.017703532827258707
