	mean_fit_time	mean_score_time	mean_test_score	param_C	param_gamma	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0	221.8462852636973	88.28463395436604	0.4563501015113918	1	0.001	{'gamma': 0.001, 'C': 1}	6	0.44127198917456023	0.45776935571196536	0.47001489102477323	0.5106378011750234	0.45399702723137975	0.011777205721956258
1	191.3899892171224	80.94141030311584	0.6097450936160613	1	0.01	{'gamma': 0.01, 'C': 1}	4	0.640595399188092	0.6113968597726043	0.5772302693921755	2.6461962234352034	1.3242494642610843	0.025895348754931487
2	197.5152203241984	81.8055915037791	0.5961651251973833	5	0.001	{'gamma': 0.001, 'C': 5}	5	0.6278755074424899	0.5982674607471575	0.5623392446189251	3.0573930495376587	2.514413082524469	0.026796632256880438
3	173.26506884892783	74.78712447484334	0.6306789984209339	5	0.01	{'gamma': 0.01, 'C': 5}	2	0.6576454668470907	0.6391445587439091	0.5952348720725599	3.291998162051476	0.7641451222025136	0.026172990627980612
4	182.29626536369324	71.3137485186259	0.6130385743288969	10	0.001	{'gamma': 0.001, 'C': 10}	3	0.6433017591339648	0.6168110449377369	0.5789901177744686	3.2641555297382294	4.50768118585076	0.026390566679721558
5	151.34054485956827	40.258923848470054	0.6332055041732461	10	0.01	{'gamma': 0.01, 'C': 10}	1	0.6553450608930987	0.6452355170546833	0.5990253147421145	49.78993101012874	5.228287573384478	0.0245157074710068
